,origin,destination,distance,duration
0,Depot,Customer 1,7181,744
1,Depot,Customer 2,1345,410
2,Depot,Customer 3,6460,802
3,Depot,Customer 4,1062,311
4,Depot,Customer 5,2690,402
5,Depot,Customer 6,3390,417
6,Depot,Customer 7,3573,491
7,Depot,Customer 8,3394,426
8,Depot,Customer 9,3263,394
9,Depot,Customer 10,1371,336
10,Depot,Customer 11,1607,391
11,Depot,Customer 12,8506,719
12,Depot,Customer 13,1302,321
13,Depot,Customer 14,4660,577
14,Depot,Customer 15,4253,439
15,Depot,Customer 16,6460,815
16,Customer 1,Depot,7326,787
17,Customer 1,Customer 2,6652,1014
18,Customer 1,Customer 3,6892,620
19,Customer 1,Customer 4,6369,915
20,Customer 1,Customer 5,7898,810
21,Customer 1,Customer 6,8598,824
22,Customer 1,Customer 7,8781,898
23,Customer 1,Customer 8,8602,834
24,Customer 1,Customer 9,8471,801
25,Customer 1,Customer 10,5755,835
26,Customer 1,Customer 11,5273,713
27,Customer 1,Customer 12,6050,439
28,Customer 1,Customer 13,5837,862
29,Customer 1,Customer 14,9868,984
30,Customer 1,Customer 15,4294,569
31,Customer 1,Customer 16,6891,633
32,Customer 2,Depot,3529,471
33,Customer 2,Customer 1,8739,857
34,Customer 2,Customer 3,7650,859
35,Customer 2,Customer 4,1752,584
36,Customer 2,Customer 5,1963,385
37,Customer 2,Customer 6,1831,369
38,Customer 2,Customer 7,2014,443
39,Customer 2,Customer 8,1835,379
40,Customer 2,Customer 9,1704,346
41,Customer 2,Customer 10,2700,735
42,Customer 2,Customer 11,2452,625
43,Customer 2,Customer 12,10064,832
44,Customer 2,Customer 13,2631,721
45,Customer 2,Customer 14,3101,529
46,Customer 2,Customer 15,5812,552
47,Customer 2,Customer 16,7650,872
48,Customer 3,Depot,6686,784
49,Customer 3,Customer 1,6828,616
50,Customer 3,Customer 2,7561,1074
51,Customer 3,Customer 4,7279,975
52,Customer 3,Customer 5,6227,810
53,Customer 3,Customer 6,6927,824
54,Customer 3,Customer 7,7110,898
55,Customer 3,Customer 8,6931,834
56,Customer 3,Customer 9,6800,801
57,Customer 3,Customer 10,6875,868
58,Customer 3,Customer 11,6903,915
59,Customer 3,Customer 12,2359,268
60,Customer 3,Customer 13,6805,854
61,Customer 3,Customer 14,8197,984
62,Customer 3,Customer 15,6231,685
63,Customer 3,Customer 16,248,53
64,Customer 4,Depot,3934,625
65,Customer 4,Customer 1,9144,1011
66,Customer 4,Customer 2,495,232
67,Customer 4,Customer 3,8055,1014
68,Customer 4,Customer 5,2367,539
69,Customer 4,Customer 6,2235,523
70,Customer 4,Customer 7,2418,597
71,Customer 4,Customer 8,2240,533
72,Customer 4,Customer 9,2109,500
73,Customer 4,Customer 10,3091,885
74,Customer 4,Customer 11,2843,775
75,Customer 4,Customer 12,10469,986
76,Customer 4,Customer 13,3022,871
77,Customer 4,Customer 14,3506,683
78,Customer 4,Customer 15,6216,706
79,Customer 4,Customer 16,8055,1026
80,Customer 5,Depot,2623,390
81,Customer 5,Customer 1,7833,776
82,Customer 5,Customer 2,2228,505
83,Customer 5,Customer 3,6744,778
84,Customer 5,Customer 4,3652,637
85,Customer 5,Customer 6,384,96
86,Customer 5,Customer 7,1062,248
87,Customer 5,Customer 8,644,143
88,Customer 5,Customer 9,358,103
89,Customer 5,Customer 10,5412,590
90,Customer 5,Customer 11,5440,638
91,Customer 5,Customer 12,9158,751
92,Customer 5,Customer 13,5343,576
93,Customer 5,Customer 14,1675,263
94,Customer 5,Customer 15,4906,471
95,Customer 5,Customer 16,6744,791
96,Customer 6,Depot,2839,464
97,Customer 6,Customer 1,8049,850
98,Customer 6,Customer 2,2122,543
99,Customer 6,Customer 3,6960,853
100,Customer 6,Customer 4,3868,712
101,Customer 6,Customer 5,362,133
102,Customer 6,Customer 7,1152,315
103,Customer 6,Customer 8,653,184
104,Customer 6,Customer 9,252,141
105,Customer 6,Customer 10,5628,665
106,Customer 6,Customer 11,5656,712
107,Customer 6,Customer 12,9374,825
108,Customer 6,Customer 13,5559,650
109,Customer 6,Customer 14,1890,338
110,Customer 6,Customer 15,5121,545
111,Customer 6,Customer 16,6960,865
112,Customer 7,Depot,3871,545
113,Customer 7,Customer 1,9081,931
114,Customer 7,Customer 2,2131,544
115,Customer 7,Customer 3,7992,933
116,Customer 7,Customer 4,3767,736
117,Customer 7,Customer 5,1117,266
118,Customer 7,Customer 6,1234,302
119,Customer 7,Customer 8,697,198
120,Customer 7,Customer 9,1107,279
121,Customer 7,Customer 10,6660,745
122,Customer 7,Customer 11,4466,778
123,Customer 7,Customer 12,10406,906
124,Customer 7,Customer 13,6591,731
125,Customer 7,Customer 14,1724,344
126,Customer 7,Customer 15,6154,626
127,Customer 7,Customer 16,7992,946
