,origin,destination,distance,duration
0,Abbey Hill Academy,Abbey Lodge,43083,2196
1,Abbey Hill Academy,Abbott House Changing Lives,57349,2668
2,Abbey Hill Academy,Academy 360,44640,2137
3,Abbey Hill Academy,Age UK Sunderland,42840,2243
4,Abbey Hill Academy,All About You,49181,2436
5,Abbey Hill Academy,Approach Development,30920,1635
6,Abbey Hill Academy,Basement Project,64149,3342
7,Abbey Hill Academy,Belle Vue 60+ Club,16357,1288
8,Abbey Hill Academy,Belle Vue Centre Cafe,16357,1288
9,Abbey Hill Academy,Belle Vue Play Scheme,16357,1288
10,Abbey Hill Academy,Belle Vue Youth Project,16357,1288
11,Abbey Hill Academy,Benfield School,62826,3096
12,Abbey Hill Academy,Beyond Limits,40780,2494
13,Abbey Hill Academy,Bibby House - Changing Lives,51215,2283
14,Abbey Hill Academy,Bilton Hall Community Trust,52421,2417
15,Abbey Hill Academy,Blyth Star Enterprises,76721,3847
16,Abbey Hill Academy,Brougham Primary School,20790,1480
17,Abbey Hill Academy,Byker Community Association,60776,3066
18,Abbey Hill Academy,Cafe on the Shire - NTDF,61946,3136
19,Abbey Hill Academy,Changing Lives,49904,2184
20,Abbey Hill Academy,Cheesy Waffles Project,34326,1708
21,Abbey Hill Academy,Chester West & Central Community Project @ Bullion Hall,43837,2046
22,Abbey Hill Academy,Choysez,77823,3771
23,Abbey Hill Academy,Corbridge Middle School,83451,3513
24,Abbey Hill Academy,Cornerstones Cafe,42148,1952
25,Abbey Hill Academy,County Durham Tees Valley Rescue Mission,23609,1396
26,Abbey Hill Academy,Cumberland House,56680,2580
27,Abbey Hill Academy,Delta North Consett (formerly YMCA),57745,3226
28,Abbey Hill Academy,Dementia Care,69343,3164
29,Abbey Hill Academy,Dynamix Extreme Cic,56813,2592
30,Abbey Hill Academy,East Durham Community Initiatives,35844,1870
31,Abbey Hill Academy,East Durham Partnership,29408,1635
32,Abbey Hill Academy,Eastlea Community,33587,1718
33,Abbey Hill Academy,Elliott House /Westbridge,58261,2826
34,Abbey Hill Academy,Emmaus North East,54815,2651
35,Abbey Hill Academy,Eslington House Changing Lives,54365,2396
36,Abbey Hill Academy,Excelsior Academy,59919,2775
37,Abbey Hill Academy,Family Gateway,57056,2747
38,Abbey Hill Academy,Felling Community Association,54795,2513
39,Abbey Hill Academy,Forage Community Project,44026,2317
40,Abbey Hill Academy,Francis House Changing Lives,56795,2598
41,Abbey Hill Academy,Gateshead Young Peoples Mental Health Service,54795,2631
42,Abbey Hill Academy,Great Lumley Community Centre,39494,2020
43,Abbey Hill Academy,Great North Road Changing Lives,47090,2211
44,Abbey Hill Academy,Green Gates Primary,30220,1658
45,Abbey Hill Academy,Harrowgate Hill Primary,18888,1262
46,Abbey Hill Academy,Haswell Mencap Lisa Dixon Centre,29484,1668
47,Abbey Hill Academy,Health Works Newcastle,62283,2804
48,Abbey Hill Academy,Hub of Wishes,23268,1381
49,Abbey Hill Academy,Investing in People and Culture,56328,2593
50,Abbey Hill Academy,"Jet (Wicker Chair) North,  Westerhope",62359,2779
51,Abbey Hill Academy,Junction 7,23268,1381
52,Abbey Hill Academy,Junior Neighbourhood Watch,23268,1381
53,Abbey Hill Academy,Kibblesworth Village Millenium Centre,50822,2372
54,Abbey Hill Academy,Kings Cafe,20453,1433
55,Abbey Hill Academy,Labyrinth Holistic Cafe,5481,687
56,Abbey Hill Academy,Little Sisters Of The Poor - Newcastle,57836,2703
57,Abbey Hill Academy,Lobley Hill Primary,52658,2327
58,Abbey Hill Academy,Looked After Through Care Darlington Borough Council,21270,1555
59,Abbey Hill Academy,Mickley First School,72282,3410
60,Abbey Hill Academy,Miss Tina's Coffee Shop,49470,2433
61,Abbey Hill Academy,Mount Pleasant Primary School,24067,1733
62,Abbey Hill Academy,Moving On Durham,38769,2073
63,Abbey Hill Academy,Murton Salvation Army,32547,1628
64,Abbey Hill Academy,New Walk Property Management Middlesbrough,10198,1078
65,Abbey Hill Academy,New Walk Property Management Stockton,5088,632
66,Abbey Hill Academy,Newport Primary,9515,1014
67,Abbey Hill Academy,PACT House,50267,2487
68,Abbey Hill Academy,Park End Primary,17391,1278
69,Abbey Hill Academy,Pelton Community Centre,44237,2097
70,Abbey Hill Academy,People's Pantry,65799,3154
71,Abbey Hill Academy,Pickle Palace,65185,3164
72,Abbey Hill Academy,Pottery Bank Centre,62349,3177
73,Abbey Hill Academy,Praxis,58610,2825
74,Abbey Hill Academy,Prudhoe Castle First School,71042,3397
75,Abbey Hill Academy,Reach Out Recovery,18494,1558
76,Abbey Hill Academy,Ron Eager House Changing Lives,57669,2769
77,Abbey Hill Academy,Roseberry Primary,7527,775
78,Abbey Hill Academy,Rosebrook,1882,364
79,Abbey Hill Academy,Sanctuary Supported Housing,4482,498
80,Abbey Hill Academy,Sanctuary Supported Living Hartlepool,21297,1449
81,Abbey Hill Academy,Selby Cottage Childrens Centre,42796,2049
82,Abbey Hill Academy,Soul Food Spaces (Peace Of Mind),52222,2529
83,Abbey Hill Academy,Sprinwell Community Hub,49859,2353
84,Abbey Hill Academy,St Davids Community Project,42138,2072
85,Abbey Hill Academy,St Gabriels Catholic Voluntary Academy,18674,1400
86,Abbey Hill Academy,St. John the Baptist Primary School,2305,348
87,Abbey Hill Academy,St.Peters Court,42102,2330
88,Abbey Hill Academy,Sunderland Area Parent Support,41951,2004
89,Abbey Hill Academy,Sunderland North Family Zone,42656,2149
90,Abbey Hill Academy,Sunderland Ymca,43083,2196
91,Abbey Hill Academy,Sunshine Day Nursery at Seascape Children's Centre,28148,1659
92,Abbey Hill Academy,The Albert,26369,1411
