,origin,destination,distance,duration
0,Abbey Hill Academy,Abbey Lodge,43083,2184
1,Abbey Hill Academy,Abbott House Changing Lives,57349,2656
2,Abbey Hill Academy,Academy 360,44640,2119
3,Abbey Hill Academy,Age UK Sunderland,42840,2227
4,Abbey Hill Academy,All About You,49181,2415
5,Abbey Hill Academy,Approach Development,30920,1623
6,Abbey Hill Academy,Basement Project,67294,3428
7,Abbey Hill Academy,Belle Vue 60+ Club,16358,1292
8,Abbey Hill Academy,Belle Vue Centre Cafe,16358,1292
9,Abbey Hill Academy,Belle Vue Play Scheme,16358,1292
10,Abbey Hill Academy,Belle Vue Youth Project,16358,1292
11,Abbey Hill Academy,Benfield School,62117,3155
12,Abbey Hill Academy,Beyond Limits,40780,2476
13,Abbey Hill Academy,Bibby House - Changing Lives,51215,2284
14,Abbey Hill Academy,Bilton Hall Community Trust,55549,2498
15,Abbey Hill Academy,Blyth Star Enterprises,79866,3928
16,Abbey Hill Academy,Brougham Primary School,20790,1430
17,Abbey Hill Academy,Byker Community Association,60776,3054
18,Abbey Hill Academy,Cafe on the Shire - NTDF,65091,3219
19,Abbey Hill Academy,Changing Lives,49904,2179
20,Abbey Hill Academy,Cheesy Waffles Project,34326,1704
21,Abbey Hill Academy,Chester West & Central Community Project @ Bullion Hall,43832,2052
22,Abbey Hill Academy,Choysez,81862,3818
23,Abbey Hill Academy,Corbridge Middle School,83451,3507
24,Abbey Hill Academy,Cornerstones Cafe,42148,1947
25,Abbey Hill Academy,County Durham Tees Valley Rescue Mission,23609,1392
26,Abbey Hill Academy,Cumberland House,56680,2571
27,Abbey Hill Academy,Delta North Consett (formerly YMCA),57745,3204
28,Abbey Hill Academy,Dementia Care,69343,3157
29,Abbey Hill Academy,Dynamix Extreme Cic,56813,2587
30,Abbey Hill Academy,East Durham Community Initiatives,35844,1857
31,Abbey Hill Academy,East Durham Partnership,29408,1630
32,Abbey Hill Academy,Eastlea Community,33587,1705
33,Abbey Hill Academy,Elliott House /Westbridge,58261,2824
34,Abbey Hill Academy,Emmaus North East,57942,2727
