,Unnamed: 0,origin,destination,distance,duration,origin_postcode,destination_postcode
0,0,Abbey Hill Academy,Abbey Lodge,43083,2196,TS198BU,SR12QF
1,1,Abbey Hill Academy,Abbott House Changing Lives,57349,2668,TS198BU,NE46NG
2,2,Abbey Hill Academy,Academy 360,44640,2137,TS198BU,SR49BA
3,3,Abbey Hill Academy,Age UK Sunderland,42840,2243,TS198BU,SR27AQ
4,4,Abbey Hill Academy,All About You,49181,2436,TS198BU,SR55LJ
5,5,Abbey Hill Academy,Approach Development,30920,1635,TS198BU,TS104NJ
6,6,Abbey Hill Academy,Basement Project,64149,3342,TS198BU,NE129NQ
7,7,Abbey Hill Academy,Belle Vue 60+ Club,16357,1288,TS198BU,TS251QU
8,8,Abbey Hill Academy,Belle Vue Centre Cafe,16357,1288,TS198BU,TS251QU
9,9,Abbey Hill Academy,Belle Vue Play Scheme,16357,1288,TS198BU,TS251QU
10,10,Abbey Hill Academy,Belle Vue Youth Project,16357,1288,TS198BU,TS251QU
11,11,Abbey Hill Academy,Benfield School,62826,3096,TS198BU,NE64NU
12,12,Abbey Hill Academy,Beyond Limits,40780,2494,TS198BU,DL135JN
13,13,Abbey Hill Academy,Bibby House - Changing Lives,51215,2283,TS198BU,NE108XJ
14,14,Abbey Hill Academy,Bilton Hall Community Trust,52421,2417,TS198BU,NE323RT
15,15,Abbey Hill Academy,Blyth Star Enterprises,76721,3847,TS198BU,NE243AG
16,16,Abbey Hill Academy,Brougham Primary School,20790,1480,TS198BU,TS248EU
17,17,Abbey Hill Academy,Byker Community Association,60776,3066,TS198BU,NE62DX
18,18,Abbey Hill Academy,Cafe on the Shire - NTDF,61946,3136,TS198BU,NE270HJ
19,19,Abbey Hill Academy,Changing Lives,49904,2184,TS198BU,NE110RU
20,20,Abbey Hill Academy,Cheesy Waffles Project,34326,1708,TS198BU,DH12LL
21,21,Abbey Hill Academy,Chester West & Central Community Project @ Bullion Hall,43837,2046,TS198BU,DH22ES
22,22,Abbey Hill Academy,Choysez,77823,3771,TS198BU,NE227DQ
23,23,Abbey Hill Academy,Corbridge Middle School,83451,3513,TS198BU,NE455HX
24,24,Abbey Hill Academy,Cornerstones Cafe,42148,1952,TS198BU,DH33TF
25,25,Abbey Hill Academy,County Durham Tees Valley Rescue Mission,23609,1396,TS198BU,DL55DH
26,26,Abbey Hill Academy,Cumberland House,56680,2580,TS198BU,NE46AL
27,27,Abbey Hill Academy,Delta North Consett (formerly YMCA),57745,3226,TS198BU,DH85DH
28,28,Abbey Hill Academy,Dementia Care,69343,3164,TS198BU,NE137DS
29,29,Abbey Hill Academy,Dynamix Extreme Cic,56813,2592,TS198BU,NE83AT
30,30,Abbey Hill Academy,East Durham Community Initiatives,35844,1870,TS198BU,SR77AU
31,31,Abbey Hill Academy,East Durham Partnership,29408,1635,TS198BU,SR84TQ
32,32,Abbey Hill Academy,Eastlea Community,33587,1718,TS198BU,SR78DX
33,33,Abbey Hill Academy,Elliott House /Westbridge,58261,2826,TS198BU,NE46US
34,34,Abbey Hill Academy,Emmaus North East,54815,2651,TS198BU,NE334RT
35,35,Abbey Hill Academy,Eslington House Changing Lives,54365,2396,TS198BU,NE82TQ
36,36,Abbey Hill Academy,Excelsior Academy,59919,2775,TS198BU,NE156AF
37,37,Abbey Hill Academy,Family Gateway,57056,2747,TS198BU,NE280PP
38,38,Abbey Hill Academy,Felling Community Association,54795,2513,TS198BU,NE100NF
39,39,Abbey Hill Academy,Forage Community Project,44026,2317,TS198BU,SR47RE
40,40,Abbey Hill Academy,Francis House Changing Lives,56795,2598,TS198BU,NE46AN
41,41,Abbey Hill Academy,Gateshead Young Peoples Mental Health Service,54795,2631,TS198BU,NE81QD
42,42,Abbey Hill Academy,Great Lumley Community Centre,39494,2020,TS198BU,DH34JD
43,43,Abbey Hill Academy,Great North Road Changing Lives,47090,2211,TS198BU,DH23NL
44,44,Abbey Hill Academy,Green Gates Primary,30220,1658,TS198BU,TS104HS
45,45,Abbey Hill Academy,Harrowgate Hill Primary,18888,1262,TS198BU,DL30HZ
46,46,Abbey Hill Academy,Haswell Mencap Lisa Dixon Centre,29484,1668,TS198BU,DH62DA
47,47,Abbey Hill Academy,Health Works Newcastle,62283,2804,TS198BU,NE158RZ
48,48,Abbey Hill Academy,Hub of Wishes,23268,1381,TS198BU,DL57DZ
49,49,Abbey Hill Academy,Investing in People and Culture,56328,2593,TS198BU,NE81SQ
50,50,Abbey Hill Academy,"Jet (Wicker Chair) North,  Westerhope",62359,2779,TS198BU,NE55HH
51,51,Abbey Hill Academy,Junction 7,23268,1381,TS198BU,DL57DZ
52,52,Abbey Hill Academy,Junior Neighbourhood Watch,23268,1381,TS198BU,DL57DZ
53,53,Abbey Hill Academy,Kibblesworth Village Millenium Centre,50822,2372,TS198BU,NE110XN
54,54,Abbey Hill Academy,Kings Cafe,20453,1433,TS198BU,DL30QT
55,55,Abbey Hill Academy,Labyrinth Holistic Cafe,5481,687,TS198BU,TS181DY
56,56,Abbey Hill Academy,Little Sisters Of The Poor - Newcastle,57836,2703,TS198BU,NE47QA
57,57,Abbey Hill Academy,Lobley Hill Primary,52658,2327,TS198BU,NE110AT
58,58,Abbey Hill Academy,Looked After Through Care Darlington Borough Council,21270,1555,TS198BU,DL15PW
59,59,Abbey Hill Academy,Mickley First School,72282,3410,TS198BU,NE437BJ
60,60,Abbey Hill Academy,Miss Tina's Coffee Shop,49470,2433,TS198BU,SR52JR
61,61,Abbey Hill Academy,Mount Pleasant Primary School,24067,1733,TS198BU,DL39HE
62,62,Abbey Hill Academy,Moving On Durham,38769,2073,TS198BU,DH15HL
63,63,Abbey Hill Academy,Murton Salvation Army,32547,1628,TS198BU,SR79NL
64,64,Abbey Hill Academy,New Walk Property Management Middlesbrough,10198,1078,TS198BU,TS13LF
65,65,Abbey Hill Academy,New Walk Property Management Stockton,5088,632,TS198BU,TS181HE
66,66,Abbey Hill Academy,Newport Primary,9515,1014,TS198BU,TS15NQ
67,67,Abbey Hill Academy,PACT House,50267,2487,TS198BU,DH90JE
68,68,Abbey Hill Academy,Park End Primary,17391,1278,TS198BU,TS30AA
69,69,Abbey Hill Academy,Pelton Community Centre,44237,2097,TS198BU,DH21DE
70,70,Abbey Hill Academy,People's Pantry,65799,3154,TS198BU,NE392BE
71,71,Abbey Hill Academy,Pickle Palace,65185,3164,TS198BU,NE404AT
72,72,Abbey Hill Academy,Pottery Bank Centre,62349,3177,TS198BU,NE63SW
73,73,Abbey Hill Academy,Praxis,58610,2825,TS198BU,NE48ED
74,74,Abbey Hill Academy,Prudhoe Castle First School,71042,3397,TS198BU,NE426PH
75,75,Abbey Hill Academy,Reach Out Recovery,18494,1558,TS198BU,TS247AD
76,76,Abbey Hill Academy,Ron Eager House Changing Lives,57669,2769,TS198BU,NE12AF
77,77,Abbey Hill Academy,Roseberry Primary,7527,775,TS198BU,TS232HJ
78,78,Abbey Hill Academy,Rosebrook,1882,364,TS198BU,TS199LF
79,79,Abbey Hill Academy,Sanctuary Supported Housing,4482,498,TS198BU,TS182HR
80,80,Abbey Hill Academy,Sanctuary Supported Living Hartlepool,21297,1449,TS198BU,TS268DB
81,81,Abbey Hill Academy,Selby Cottage Childrens Centre,42796,2049,TS198BU,DH22EY
82,82,Abbey Hill Academy,Soul Food Spaces (Peace Of Mind),52222,2529,TS198BU,NE84QP
83,83,Abbey Hill Academy,Sprinwell Community Hub,49859,2353,TS198BU,NE97AL
84,84,Abbey Hill Academy,St Davids Community Project,42138,2072,TS198BU,SR33HG
85,85,Abbey Hill Academy,St Gabriels Catholic Voluntary Academy,18674,1400,TS198BU,TS79LF
86,86,Abbey Hill Academy,St. John the Baptist Primary School,2305,348,TS198BU,TS190FB
87,87,Abbey Hill Academy,St.Peters Court,42102,2330,TS198BU,DH76FB
88,88,Abbey Hill Academy,Sunderland Area Parent Support,41951,2004,TS198BU,SR32PE
89,89,Abbey Hill Academy,Sunderland North Family Zone,42656,2149,TS198BU,SR28AB
90,90,Abbey Hill Academy,Sunderland Ymca,43083,2196,TS198BU,SR12QF
91,91,Abbey Hill Academy,Sunshine Day Nursery at Seascape Children's Centre,28148,1659,TS198BU,SR85NJ
92,92,Abbey Hill Academy,The Albert,26369,1411,TS198BU,DH62LT
93,93,Abbey Hill Academy,The Ashley Foundation,43102,2180,TS198BU,SR12QB
94,94,Abbey Hill Academy,The Laurels Childcare Ltd,29923,1887,TS198BU,DH12EY
95,95,Abbey Hill Academy,The Oasis Cafe,57610,2690,TS198BU,NE47RW
96,96,Abbey Hill Academy,The Opportunity Cafe,60300,2814,TS198BU,NE158NY
97,97,Abbey Hill Academy,The Rifty Youth Project,16736,1424,TS198BU,TS254JY
98,98,Abbey Hill Academy,Tyneside Vineyard Extraordinary Project,59817,2999,TS198BU,NE62FF
99,99,Abbey Hill Academy,Umbrella Community Centre,56695,3155,TS198BU,DH85SD
100,100,Abbey Hill Academy,Vinnie's Cafe,58170,2802,TS198BU,NE12TQ
101,101,Abbey Hill Academy,Virginia House Changing Lives,57646,2667,TS198BU,NE47NQ
102,102,Abbey Hill Academy,Wallsend People Centre,59207,2921,TS198BU,NE286RN
103,103,Abbey Hill Academy,Washingwell Primary School,55657,2613,TS198BU,NE164RB
104,104,Abbey Hill Academy,West View Primary School,23291,1407,TS198BU,TS249BP
105,105,Abbey Hill Academy,West View Project,23697,1425,TS198BU,TS249JQ
106,106,Abbey Hill Academy,Wharton Trust,21132,1538,TS198BU,TS248NS
107,107,Abbey Hill Academy,Whitehead Street - Changing Lives,54171,2608,TS198BU,NE335ND
108,108,Abbey Lodge,Abbey Hill Academy,43316,2234,SR12QF,TS198BU
109,109,Abbey Lodge,Abbott House Changing Lives,27252,1917,SR12QF,NE46NG
110,110,Abbey Lodge,Academy 360,6912,798,SR12QF,SR49BA
111,111,Abbey Lodge,Age UK Sunderland,1101,179,SR12QF,SR27AQ
112,112,Abbey Lodge,All About You,6005,729,SR12QF,SR55LJ
113,113,Abbey Lodge,Approach Development,64640,2784,SR12QF,TS104NJ
114,114,Abbey Lodge,Basement Project,27205,2212,SR12QF,NE129NQ
115,115,Abbey Lodge,Belle Vue 60+ Club,38885,1989,SR12QF,TS251QU
116,116,Abbey Lodge,Belle Vue Centre Cafe,38885,1989,SR12QF,TS251QU
117,117,Abbey Lodge,Belle Vue Play Scheme,38885,1989,SR12QF,TS251QU
118,118,Abbey Lodge,Belle Vue Youth Project,38885,1989,SR12QF,TS251QU
119,119,Abbey Lodge,Benfield School,25882,1966,SR12QF,NE64NU
120,120,Abbey Lodge,Beyond Limits,53455,3501,SR12QF,DL135JN
121,121,Abbey Lodge,Bibby House - Changing Lives,16222,1252,SR12QF,NE108XJ
122,122,Abbey Lodge,Bilton Hall Community Trust,13086,1355,SR12QF,NE323RT
123,123,Abbey Lodge,Blyth Star Enterprises,39777,2716,SR12QF,NE243AG
124,124,Abbey Lodge,Brougham Primary School,33340,1745,SR12QF,TS248EU
125,125,Abbey Lodge,Byker Community Association,25285,2062,SR12QF,NE62DX
126,126,Abbey Lodge,Cafe on the Shire - NTDF,25002,2006,SR12QF,NE270HJ
127,127,Abbey Lodge,Changing Lives,19807,1434,SR12QF,NE110RU
128,128,Abbey Lodge,Cheesy Waffles Project,18303,1466,SR12QF,DH12LL
129,129,Abbey Lodge,Chester West & Central Community Project @ Bullion Hall,17978,1613,SR12QF,DH22ES
130,130,Abbey Lodge,Choysez,40879,2640,SR12QF,NE227DQ
131,131,Abbey Lodge,Corbridge Middle School,53354,2762,SR12QF,NE455HX
132,132,Abbey Lodge,Cornerstones Cafe,16290,1518,SR12QF,DH33TF
133,133,Abbey Lodge,County Durham Tees Valley Rescue Mission,42438,2454,SR12QF,DL55DH
134,134,Abbey Lodge,Cumberland House,26584,1829,SR12QF,NE46AL
135,135,Abbey Lodge,Delta North Consett (formerly YMCA),37565,2962,SR12QF,DH85DH
136,136,Abbey Lodge,Dementia Care,34982,2402,SR12QF,NE137DS
137,137,Abbey Lodge,Dynamix Extreme Cic,20230,1522,SR12QF,NE83AT
138,138,Abbey Lodge,East Durham Community Initiatives,8996,744,SR12QF,SR77AU
139,139,Abbey Lodge,East Durham Partnership,19376,1105,SR12QF,SR84TQ
140,140,Abbey Lodge,Eastlea Community,9339,750,SR12QF,SR78DX
141,141,Abbey Lodge,Elliott House /Westbridge,28165,2075,SR12QF,NE46US
142,142,Abbey Lodge,Emmaus North East,10583,1082,SR12QF,NE334RT
143,143,Abbey Lodge,Eslington House Changing Lives,24269,1645,SR12QF,NE82TQ
144,144,Abbey Lodge,Excelsior Academy,29823,2024,SR12QF,NE156AF
145,145,Abbey Lodge,Family Gateway,20112,1617,SR12QF,NE280PP
146,146,Abbey Lodge,Felling Community Association,18212,1443,SR12QF,NE100NF
147,147,Abbey Lodge,Forage Community Project,3426,442,SR12QF,SR47RE
148,148,Abbey Lodge,Francis House Changing Lives,26699,1848,SR12QF,NE46AN
149,149,Abbey Lodge,Gateshead Young Peoples Mental Health Service,21498,1785,SR12QF,NE81QD
150,150,Abbey Lodge,Great Lumley Community Centre,17170,1438,SR12QF,DH34JD
151,151,Abbey Lodge,Great North Road Changing Lives,21232,1777,SR12QF,DH23NL
152,152,Abbey Lodge,Green Gates Primary,63941,2806,SR12QF,TS104HS
153,153,Abbey Lodge,Harrowgate Hill Primary,46420,2648,SR12QF,DL30HZ
154,154,Abbey Lodge,Haswell Mencap Lisa Dixon Centre,23566,1412,SR12QF,DH62DA
155,155,Abbey Lodge,Health Works Newcastle,32186,2053,SR12QF,NE158RZ
156,156,Abbey Lodge,Hub of Wishes,42097,2439,SR12QF,DL57DZ
157,157,Abbey Lodge,Investing in People and Culture,21442,1759,SR12QF,NE81SQ
158,158,Abbey Lodge,"Jet (Wicker Chair) North,  Westerhope",32262,2029,SR12QF,NE55HH
159,159,Abbey Lodge,Junction 7,42097,2439,SR12QF,DL57DZ
160,160,Abbey Lodge,Junior Neighbourhood Watch,42097,2439,SR12QF,DL57DZ
161,161,Abbey Lodge,Kibblesworth Village Millenium Centre,20725,1621,SR12QF,NE110XN
162,162,Abbey Lodge,Kings Cafe,47462,2721,SR12QF,DL30QT
163,163,Abbey Lodge,Labyrinth Holistic Cafe,45952,2316,SR12QF,TS181DY
164,164,Abbey Lodge,Little Sisters Of The Poor - Newcastle,27739,1952,SR12QF,NE47QA
165,165,Abbey Lodge,Lobley Hill Primary,22562,1576,SR12QF,NE110AT
166,166,Abbey Lodge,Looked After Through Care Darlington Borough Council,49190,3063,SR12QF,DL15PW
167,167,Abbey Lodge,Mickley First School,42186,2660,SR12QF,NE437BJ
168,168,Abbey Lodge,Miss Tina's Coffee Shop,3587,556,SR12QF,SR52JR
169,169,Abbey Lodge,Mount Pleasant Primary School,49405,2744,SR12QF,DL39HE
170,170,Abbey Lodge,Moving On Durham,22764,1750,SR12QF,DH15HL
171,171,Abbey Lodge,Murton Salvation Army,13719,912,SR12QF,SR79NL
172,172,Abbey Lodge,New Walk Property Management Middlesbrough,45211,2224,SR12QF,TS13LF
173,173,Abbey Lodge,New Walk Property Management Stockton,45965,2296,SR12QF,TS181HE
174,174,Abbey Lodge,Newport Primary,44529,2159,SR12QF,TS15NQ
175,175,Abbey Lodge,PACT House,24409,2054,SR12QF,DH90JE
176,176,Abbey Lodge,Park End Primary,51111,2426,SR12QF,TS30AA
177,177,Abbey Lodge,Pelton Community Centre,18379,1664,SR12QF,DH21DE
178,178,Abbey Lodge,People's Pantry,35703,2404,SR12QF,NE392BE
179,179,Abbey Lodge,Pickle Palace,35088,2413,SR12QF,NE404AT
180,180,Abbey Lodge,Pottery Bank Centre,25405,2047,SR12QF,NE63SW
181,181,Abbey Lodge,Praxis,28514,2075,SR12QF,NE48ED
182,182,Abbey Lodge,Prudhoe Castle First School,40946,2647,SR12QF,NE426PH
183,183,Abbey Lodge,Reach Out Recovery,36301,2107,SR12QF,TS247AD
184,184,Abbey Lodge,Ron Eager House Changing Lives,22177,1765,SR12QF,NE12AF
185,185,Abbey Lodge,Roseberry Primary,37955,1895,SR12QF,TS232HJ
186,186,Abbey Lodge,Rosebrook,41877,2071,SR12QF,TS199LF
187,187,Abbey Lodge,Sanctuary Supported Housing,44032,2092,SR12QF,TS182HR
188,188,Abbey Lodge,Sanctuary Supported Living Hartlepool,33663,1821,SR12QF,TS268DB
189,189,Abbey Lodge,Selby Cottage Childrens Centre,16938,1616,SR12QF,DH22EY
190,190,Abbey Lodge,Soul Food Spaces (Peace Of Mind),22125,1779,SR12QF,NE84QP
191,191,Abbey Lodge,Sprinwell Community Hub,17544,1502,SR12QF,NE97AL
192,192,Abbey Lodge,St Davids Community Project,5861,676,SR12QF,SR33HG
193,193,Abbey Lodge,St Gabriels Catholic Voluntary Academy,52394,2548,SR12QF,TS79LF
194,194,Abbey Lodge,St. John the Baptist Primary School,41262,1975,SR12QF,TS190FB
195,195,Abbey Lodge,St.Peters Court,23941,1995,SR12QF,DH76FB
196,196,Abbey Lodge,Sunderland Area Parent Support,5871,595,SR12QF,SR32PE
197,197,Abbey Lodge,Sunderland North Family Zone,666,114,SR12QF,SR28AB
198,198,Abbey Lodge,Sunderland Ymca,0,0,SR12QF,SR12QF
199,199,Abbey Lodge,Sunshine Day Nursery at Seascape Children's Centre,19473,1253,SR12QF,SR85NJ
200,200,Abbey Lodge,The Albert,19715,1144,SR12QF,DH62LT
201,201,Abbey Lodge,The Ashley Foundation,412,102,SR12QF,SR12QB
202,202,Abbey Lodge,The Laurels Childcare Ltd,21498,1686,SR12QF,DH12EY
203,203,Abbey Lodge,The Oasis Cafe,27514,1939,SR12QF,NE47RW
204,204,Abbey Lodge,The Opportunity Cafe,30204,2064,SR12QF,NE158NY
205,205,Abbey Lodge,The Rifty Youth Project,34597,1886,SR12QF,TS254JY
206,206,Abbey Lodge,Tyneside Vineyard Extraordinary Project,24023,1996,SR12QF,NE62FF
207,207,Abbey Lodge,Umbrella Community Centre,36515,2890,SR12QF,DH85SD
208,208,Abbey Lodge,Vinnie's Cafe,22678,1798,SR12QF,NE12TQ
209,209,Abbey Lodge,Virginia House Changing Lives,27549,1916,SR12QF,NE47NQ
210,210,Abbey Lodge,Wallsend People Centre,22263,1791,SR12QF,NE286RN
211,211,Abbey Lodge,Washingwell Primary School,25561,1862,SR12QF,NE164RB
212,212,Abbey Lodge,West View Primary School,32087,1645,SR12QF,TS249BP
213,213,Abbey Lodge,West View Project,32494,1663,SR12QF,TS249JQ
214,214,Abbey Lodge,Wharton Trust,33462,1782,SR12QF,TS248NS
215,215,Abbey Lodge,Whitehead Street - Changing Lives,11740,1215,SR12QF,NE335ND
216,216,Abbott House Changing Lives,Abbey Hill Academy,57123,2708,NE46NG,TS198BU
217,217,Abbott House Changing Lives,Abbey Lodge,26130,1876,NE46NG,SR12QF
218,218,Abbott House Changing Lives,Academy 360,22682,1446,NE46NG,SR49BA
219,219,Abbott House Changing Lives,Age UK Sunderland,25010,1736,NE46NG,SR27AQ
220,220,Abbott House Changing Lives,All About You,22697,1527,NE46NG,SR55LJ
221,221,Abbott House Changing Lives,Approach Development,85191,3697,NE46NG,TS104NJ
222,222,Abbott House Changing Lives,Basement Project,9969,1166,NE46NG,NE129NQ
223,223,Abbott House Changing Lives,Belle Vue 60+ Club,59436,2902,NE46NG,TS251QU
224,224,Abbott House Changing Lives,Belle Vue Centre Cafe,59436,2902,NE46NG,TS251QU
225,225,Abbott House Changing Lives,Belle Vue Play Scheme,59436,2902,NE46NG,TS251QU
226,226,Abbott House Changing Lives,Belle Vue Youth Project,59436,2902,NE46NG,TS251QU
227,227,Abbott House Changing Lives,Benfield School,7761,920,NE46NG,NE64NU
228,228,Abbott House Changing Lives,Beyond Limits,61890,3386,NE46NG,DL135JN
229,229,Abbott House Changing Lives,Bibby House - Changing Lives,8957,1119,NE46NG,NE108XJ
230,230,Abbott House Changing Lives,Bilton Hall Community Trust,14120,1410,NE46NG,NE323RT
231,231,Abbott House Changing Lives,Blyth Star Enterprises,29463,1938,NE46NG,NE243AG
232,232,Abbott House Changing Lives,Brougham Primary School,53890,2657,NE46NG,TS248EU
233,233,Abbott House Changing Lives,Byker Community Association,5067,833,NE46NG,NE62DX
234,234,Abbott House Changing Lives,Cafe on the Shire - NTDF,15869,1465,NE46NG,NE270HJ
235,235,Abbott House Changing Lives,Changing Lives,8113,586,NE46NG,NE110RU
236,236,Abbott House Changing Lives,Cheesy Waffles Project,27350,1457,NE46NG,DH12LL
237,237,Abbott House Changing Lives,Chester West & Central Community Project @ Bullion Hall,19060,1140,NE46NG,DH22ES
238,238,Abbott House Changing Lives,Choysez,30565,1862,NE46NG,NE227DQ
239,239,Abbott House Changing Lives,Corbridge Middle School,27864,1480,NE46NG,NE455HX
240,240,Abbott House Changing Lives,Cornerstones Cafe,17372,1045,NE46NG,DH33TF
241,241,Abbott House Changing Lives,County Durham Tees Valley Rescue Mission,50873,2339,NE46NG,DL55DH
242,242,Abbott House Changing Lives,Cumberland House,873,161,NE46NG,NE46AL
243,243,Abbott House Changing Lives,Delta North Consett (formerly YMCA),23122,1942,NE46NG,DH85DH
244,244,Abbott House Changing Lives,Dementia Care,13772,1172,NE46NG,NE137DS
245,245,Abbott House Changing Lives,Dynamix Extreme Cic,4427,661,NE46NG,NE83AT
