No,CFM Name,Postal code,Demand*,cluster
0,Abbey Hill Academy,TS19 8BU,91.14,0
1,Abbey Lodge,SR1 2QF,54.4,5
2,Abbott House Changing Lives,NE4 6NG,68.14,4
3,Academy 360,SR4 9BA,68.4,5
4,Age UK Sunderland,SR2 7AQ,26,5
5,All About You,SR5 5LJ,48.6,5
6,Approach Development,TS10 4NJ,81.2,0
7,Basement Project,NE12 9NQ,78,4
8,Belle Vue 60+ Club,TS25 1QU,23.8,0
9,Belle Vue Centre Cafe,TS25 1QU,75.81,0
10,Belle Vue Play Scheme,TS25 1QU,39.8,0
11,Belle Vue Youth Project,TS25 1QU,45.6,0
12,Benfield School,NE6 4NU,80.2,4
13,Beyond Limits,DL13 5JN,316.48,3
14,Bibby House - Changing Lives,NE10 8XJ,80.6,4
15,Bilton Hall Community Trust,NE32 3RT,73.8,4
16,Blyth Star Enterprises,NE24 3AG,94.2,4
17,Brougham Primary School,TS24 8EU,53.14,0
18,Byker Community Association,NE6 2DX,144.1,4
19,Cafe on the Shire - NTDF,NE27 0HJ,76,4
20,Changing Lives,NE11 0RU,24,4
21,Cheesy Waffles Project,DH1 2LL,61,1
22,Chester West & Central Community Project @ Bullion Hall,DH2 2ES,86.1,1
23,Choysez,NE22 7DQ,93.04,4
24,Corbridge Middle School,NE45 5HX,56.52,2
25,Cornerstones Cafe,DH3 3TF,45.5,1
26,County Durham Tees Valley Rescue Mission,DL5 5DH,92.9,3
27,Cumberland House,NE4 6AL,76.84,4
28,Delta North Consett (formerly YMCA),DH8 5DH,51.55,2
29,Dementia Care,NE13 7DS,64.6,4
30,Dynamix Extreme Cic,NE8 3AT,64.9,4
31,East Durham Community Initiatives,SR7 7AU,49.9,5
32,East Durham Partnership,SR8 4TQ,91.6,5
33,Eastlea Community,SR7 8DX,75.9,5
34,Elliott House /Westbridge,NE4 6US,126.27,4
35,Emmaus North East,NE33 4RT,51.6,5
36,Eslington House Changing Lives,NE8 2TQ,85.85,4
37,Excelsior Academy,NE15 6AF,129.04,4
38,Family Gateway,NE28 0PP,82.65,4
39,Felling Community Association,NE10 0NF,92.44,4
40,Forage Community Project,SR4 7RE,183,5
41,Francis House Changing Lives,NE4 6AN,76.74,4
42,Gateshead Young Peoples Mental Health Service,NE8 1QD,127.84,4
43,Great Lumley Community Centre,DH3 4JD,73.1,1
44,Great North Road Changing Lives,DH2 3NL,161.2,1
45,Green Gates Primary,TS10 4HS,26.2,0
46,Harrowgate Hill Primary,DL3 0HZ,74.84,3
47,Haswell Mencap Lisa Dixon Centre,DH6 2DA,89.8,5
48,Health Works Newcastle,NE15 8RZ,132.3,4
49,Hub of Wishes,DL5 7DZ,85.44,3
