No,CFM Name,Postal code,Demand*,cluster
0,FareShare North East Warehouse,NE5 5HH,0,
1,Abbey Hill Academy,TS19 8BU,83.14111111,
2,Abbey Lodge,SR1 2QF,79.09272727,
3,Abbott House Changing Lives,NE4 6NG,96.38083333,
4,Academy 360,SR4 9BA,110.941,
5,Action Station South Tyneside,NE34 0LZ,105.29,
6,Age UK Sunderland,SR2 7AQ,41.82363636,
7,All About You,SR5 5LJ,81.10111111,
8,Approach Development,TS10 4NJ,94.00076923,
9,Basement Project,NE12 9NQ,56.23409091,
10,Beech Grove Primary School,TS4 3AP,95.725,
11,Belle Vue 60+ Club,TS25 1QU,35.42846154,
12,Belle Vue Centre Cafe,TS25 1QU,76.02692308,
13,Belle Vue Play Scheme,TS25 1QU,40.97307692,
14,Belle Vue Youth Project,TS25 1QU,76.08461538,
15,Benfield School,NE6 4NU,70.276,
16,Beyond Limits,DL13 5JN,492.3523077,
17,Bibby House - Changing Lives,NE10 8XJ,86.65454545,
18,Bilton Hall Community Trust,NE32 3RT,77.33181818,
19,Blyth Star Enterprises,NE24 3AG,78.94230769,
20,Brougham Primary School,TS24 8EU,88.611,
21,Byker Community Association,NE6 2DX,225.1384615,
22,Cafe on the Shire - NTDF,NE27 0HJ,81.78076923,
23,Cheesy Waffles Project,DH1 2LL,79.96454545,
24,Chester West & Central Community Project @ Bullion Hall,DH2 2ES,91.56545455,
25,Choysez,NE22 7DQ,82.17,
26,Corbridge Middle School,NE45 5HX,59.6525,
27,Cornerstones Cafe,DH3 3TF,49.832,
28,County Durham Tees Valley Rescue Mission,DL5 7EA,109.565,
29,Cumberland House,NE4 6AL,75.4175,
30,D2 Youth Zone,NE5 4JD,96.32,
31,Delta North Consett (formerly YMCA),DH8 5DH,64.115,
32,Dementia Care,NE13 7DS,74.48,
33,Derwentside Trust,DH8 5HL,83.8,
34,Dynamix Extreme Cic,NE8 3AT,73.51461538,
35,East Durham Community Initiatives Seaham),SR7 7AU,55.77076923,
36,East Durham Partnership (Horden),SR8 4TQ,116.2733333,
37,Eastlea Community,SR7 8DX,83.95461538,
38,Elgin Community Kitchen,NE9 5PA,69.25857143,
39,Elliott House /Westbridge,NE4 6US,174.4604167,
40,Emmaus North East,NE33 4RT,77.08818182,
41,Eslington House Changing Lives,NE8 2TQ,111.4763636,
42,Excelsior Academy,NE15 6AF,133.009,
43,Family Gateway,NE28 0PP,101.1577778,
44,Felling Community Association,NE10 0NF,104.214,
45,Forage Community Project,SR4 7RE,215.1366667,
46,Francis House Changing Lives,NE4 6AN,82.73333333,
47,Gateshead Young Peoples Mental Health Service,NE8 1QD,118.4675,
48,Great Lumley Community Centre,DH3 4JD,85.452,
49,Great North Road Changing Lives,DH2 3NL,167.4723077,
50,Green Gates Primary,TS10 4HS,53.045,
51,Harrowgate Hill Primary,DL3 0HZ,87.80888889,
52,Haswell Mencap Lisa Dixon Centre,DH6 2DA,112.5223077,
53,Health Works Newcastle,NE15 8RZ,139.7941667,
54,Hub of Wishes,DL5 7DZ,104.3265,
55,Investing in People and Culture,NE8 1SQ,91.096,
56,Junction 7,DL5 7DZ,100.99,
57,Junior Neighbourhood Watch,DL5 7DZ,106.461,
58,Kibblesworth Village Millenium Centre,NE11 0XN,92.96545455,
59,Kings Cafe,DL3 0QT,110.595,
60,Labyrinth Holistic Cafe,TS18 1DY,119.0491667,
61,Little Sisters Of The Poor - Newcastle,NE4 7QA,98.44083333,
62,Lobley Hill Primary,NE11 0AT,61.76818182,
