,name,postal_code,longitude,latitude,cluster
0,FareShare North East Warehouse,NE55HH,-1.6959281,55.0006011,99
1,Abbey Hill Academy,TS198BU,-1.3438479,54.5818341,5
2,Abbey Lodge,SR12QF,-1.3783088,54.9028924,3
3,Abbott House Changing Lives,NE46NG,-1.633187,54.9721003,2
4,Academy 360,SR49BA,-1.4438444,54.8972311,3
5,Age UK Sunderland,SR27AQ,-1.3855734,54.90152,3
6,All About You,SR55LJ,-1.422753,54.9289595,3
7,Approach Development,TS104NJ,-1.0652444,54.5928248,5
8,Basement Project,NE129NQ,-1.5669218,55.0173973,2
9,Belle Vue 60+ Club,TS251QU,-1.2100757,54.6722099,5
10,Belle Vue Centre Cafe,TS251QU,-1.2100757,54.6722099,5
11,Belle Vue Play Scheme,TS251QU,-1.2100757,54.6722099,5
12,Belle Vue Youth Project,TS251QU,-1.2100757,54.6722099,5
13,Benfield School,NE64NU,-1.5591289,54.990115,2
14,Beyond Limits,DL135JN,-1.8401776,54.6401126,6
15,Bibby House - Changing Lives,NE108XJ,-1.541096,54.944211,2
16,Bilton Hall Community Trust,NE323RT,-1.4685495,54.9717853,3
17,Blyth Star Enterprises,NE243AG,-1.5015777,55.1278358,2
18,Brougham Primary School,TS248EU,-1.218497,54.693482,5
19,Byker Community Association,NE62DX,-1.5747598,54.9738161,2
20,Cafe on the Shire - NTDF,NE270HJ,-1.5064259,55.038142,2
21,Cheesy Waffles Project,DH12LL,-1.5387977,54.784691,0
22,Chester West & Central Community Project @ Bullion Hall,DH22ES,-1.5803892,54.8530636,0
23,Choysez,NE227DQ,-1.5923534,55.1468669,2
24,Corbridge Middle School,NE455HX,-2.0217686,54.9797028,1
25,Cornerstones Cafe,DH33TF,-1.5756429,54.859314,0
26,County Durham Tees Valley Rescue Mission,DL57EA,-1.592019,54.6213331,6
27,Cumberland House,NE46AL,-1.6233864,54.9711122,2
28,Delta North Consett (formerly YMCA),DH85DH,-1.8369773,54.8528988,1
29,Dementia Care,NE137DS,-1.6352147,55.047855,2
30,Dynamix Extreme Cic,NE83AT,-1.5891135,54.9651085,2
31,East Durham Community Initiatives Seaham),SR77AU,-1.3361299,54.8388022,4
32,East Durham Partnership (Horden),SR84TQ,-1.3160348,54.7701321,4
33,Eastlea Community,SR78DX,-1.3663224,54.8342563,4
34,Elgin Community Kitchen,NE95PA,-1.5840713,54.9484785,2
35,Elliott House /Westbridge,NE46US,-1.6430077,54.971624,2
36,Emmaus North East,NE334RT,-1.4326777,54.9794426,3
37,Eslington House Changing Lives,NE82TQ,-1.6272121,54.95118,2
38,Excelsior Academy,NE156AF,-1.6901537,54.9752832,2
39,Family Gateway,NE280PP,-1.4975081,55.0010471,2
40,Felling Community Association,NE100NF,-1.5701303,54.9486617,2
41,Forage Community Project,SR47RE,-1.4076799,54.8992885,3
42,Francis House Changing Lives,NE46AN,-1.625108,54.9712614,2
43,Gateshead Young Peoples Mental Health Service,NE81QD,-1.6095476,54.9562339,2
44,Great Lumley Community Centre,DH34JD,-1.5445116,54.8363354,0
45,Great North Road Changing Lives,DH23NL,-1.5970677,54.8289541,0
46,Green Gates Primary,TS104HS,-1.0737941,54.5975472,5
47,Harrowgate Hill Primary,DL30HZ,-1.5491707,54.5462386,6
48,Haswell Mencap Lisa Dixon Centre,DH62DA,-1.4216946,54.7840555,4
49,Health Works Newcastle,NE158RZ,-1.7124384,54.9767799,2
50,Hub of Wishes,DL57DZ,-1.5927828,54.6199517,6
51,Investing in People and Culture,NE81SQ,-1.6083361,54.9556475,2
52,Junction 7,DL57DZ,-1.5927828,54.6199517,6
53,Junior Neighbourhood Watch,DL57DZ,-1.5927828,54.6199517,6
54,Kibblesworth Village Millenium Centre,NE110XN,-1.6235549,54.9029656,0
55,Kings Cafe,DL30QT,-1.5597151,54.5410512,6
56,Labyrinth Holistic Cafe,TS181DY,-1.3175627,54.5637923,5
57,Little Sisters Of The Poor - Newcastle,NE47QA,-1.6441798,54.9662716,2
58,Lobley Hill Primary,NE110AT,-1.6380024,54.9386443,2
59,Looked After Through Care Darlington Borough Council,DL15PW,-1.5552655,54.5240702,6
60,Mickley First School,NE437BJ,-1.8879133,54.9537877,1
61,Miss Tina's Coffee Shop,SR52JR,-1.4026432,54.9210205,3
62,Mount Pleasant Primary School,DL39HE,-1.5942065,54.54026,6
63,Moving On Durham,DH15HL,-1.5810966,54.7997803,0
64,Murton Salvation Army,SR79NL,-1.383377,54.8153332,4
65,New Walk Property Management Middlesbrough,TS13LF,-1.2373683,54.5658361,5
66,New Walk Property Management Stockton,TS181HD,-1.3176217,54.5628495,5
67,Newport Primary,TS15NQ,-1.24589,54.5734574,5
68,PACT House,DH90JE,-1.6978006,54.871469,0
69,Park End Primary,TS30AA,-1.1966684,54.5499734,5
70,Pelton Community Centre,DH21DE,-1.6092726,54.8729726,0
71,People's Pantry,NE392BE,-1.7832109,54.9308404,1
72,Pickle Palace,NE404AT,-1.7936367,54.9521999,1
73,Pottery Bank Centre,NE63SW,-1.5526729,54.9635127,2
74,Praxis,NE48ED,-1.6543555,54.969835,2
75,Prudhoe Castle First School,NE426PH,-1.8645502,54.9608609,1
76,Reach Out Recovery,TS247AD,-1.2068758,54.6852778,5
77,Ron Eager House Changing Lives,NE12AF,-1.6036404,54.9710724,2
78,Roseberry Primary,TS232HJ,-1.2838229,54.6085305,5
79,Rosebrook,TS199LF,-1.3452975,54.589871,5
80,Sanctuary Supported Housing,TS182HR,-1.3027815,54.5704613,5
81,Sanctuary Supported Living Hartlepool,TS268DB,-1.2179079,54.6850819,5
82,Selby Cottage Childrens Centre,DH22EY,-1.57925,54.8627057,0
83,Soul Food Spaces (Peace Of Mind),NE84QP,-1.6099706,54.9489996,2
84,Sprinwell Community Hub,NE97AL,-1.564771,54.9289385,2
85,St Davids Community Project,SR33HG,-1.4284034,54.8748856,3
86,St Gabriels Catholic Voluntary Academy,TS79LF,-1.1749383,54.5505285,5
87,St. John the Baptist Primary School,TS190FB,-1.3259501,54.5808318,5
88,St.Peters Court,DH76FB,-1.6278191,54.8233909,0
89,Sunderland Area Parent Support,SR32PE,-1.422608,54.8697953,3
90,Sunderland North Family Zone,SR28AB,-1.373538,54.9010544,3
91,Sunderland Ymca,SR12QF,-1.3783088,54.9028924,3
92,Sunshine Day Nursery at Seascape Children's Centre,SR85NJ,-1.3259052,54.7645299,4
93,The Albert,DH62LT,-1.3860913,54.763,4
94,The Ashley Foundation,SR12QB,-1.3760593,54.9046379,3
95,The Laurels Childcare Ltd,DH12EY,-1.5518637,54.7755937,0
96,The Oasis Cafe,NE47RW,-1.6366406,54.9655123,2
97,The Opportunity Cafe,NE158NY,-1.7176718,54.9697337,2
98,The Rifty Youth Project,TS254JY,-1.2403696,54.6725903,5
99,Tyneside Vineyard Extraordinary Project,NE62FF,-1.5772037,54.9717187,2
100,Umbrella Community Centre,DH85SD,-1.833231,54.8528694,1
101,Vinnie's Cafe,NE12TQ,-1.597807,54.9746351,2
102,Virginia House Changing Lives,NE47NQ,-1.6431982,54.9642191,2
103,Wallsend People Centre,NE286RN,-1.5350658,54.9901621,2
104,Washingwell Primary School,NE164RB,-1.6701073,54.9388968,2
105,West View Primary School,TS249BP,-1.2275715,54.705658,5
106,West View Project,TS249JQ,-1.2242515,54.706721,5
107,Wharton Trust,TS248NS,-1.216643,54.6943584,5
108,Whitehead Street - Changing Lives,NE335ND,-1.442879,54.9766538,3
109,Saplings Kindergarden,SR81NJ,-1.3368511,54.746554,4
110,Blyth Changing Lives,NE242EH,-1.5085421,55.1236972,2
